"id_contrat","age_souscription","genre","duree","capital_assure","fumeur","annee_souscription","age_actuel","anciennete","duree_restante"
"DC00001",56,"F",14,110000,FALSE,2023,59,3,11
"DC00002",20,"H",20,298000,FALSE,2018,28,8,12
"DC00003",44,"F",10,66000,FALSE,2022,48,4,6
"DC00004",29,"H",15,140000,FALSE,2022,33,4,11
"DC00005",55,"H",10,154000,TRUE,2022,59,4,6
"DC00006",37,"H",20,42000,FALSE,2020,43,6,14
"DC00007",43,"H",15,126000,TRUE,2024,45,2,13
"DC00008",26,"H",20,79000,FALSE,2023,29,3,17
"DC00009",55,"F",15,94000,FALSE,2025,56,1,14
"DC00010",44,"F",10,247000,FALSE,2022,48,4,6
"DC00011",56,"H",10,263000,FALSE,2024,58,2,8
"DC00012",39,"H",10,61000,FALSE,2018,47,8,2
"DC00013",45,"H",25,140000,FALSE,2020,51,6,19
"DC00014",22,"F",10,50000,TRUE,2025,23,1,9
"DC00015",60,"F",10,270000,FALSE,2019,67,7,3
"DC00016",44,"F",10,102000,FALSE,2022,48,4,6
"DC00017",46,"F",10,299000,TRUE,2023,49,3,7
"DC00018",55,"F",10,62000,FALSE,2025,56,1,9
"DC00019",56,"H",10,367000,FALSE,2019,63,7,3
"DC00020",50,"F",5,98000,FALSE,2022,54,4,1
"DC00021",24,"H",10,86000,FALSE,2019,31,7,3
"DC00022",39,"F",15,110000,TRUE,2019,46,7,8
"DC00023",53,"F",17,70000,FALSE,2019,60,7,10
"DC00024",47,"F",15,32000,TRUE,2021,52,5,10
"DC00026",22,"H",15,534000,TRUE,2025,23,1,14
"DC00027",52,"H",15,160000,FALSE,2020,58,6,9
"DC00028",43,"F",10,181000,FALSE,2025,44,1,9
"DC00029",49,"H",5,494000,FALSE,2022,53,4,1
"DC00030",34,"H",20,126000,TRUE,2024,36,2,18
"DC00031",41,"H",15,81000,FALSE,2020,47,6,9
"DC00032",27,"F",20,190000,FALSE,2022,31,4,16
"DC00033",55,"H",15,144000,FALSE,2022,59,4,11
"DC00034",23,"H",15,121000,TRUE,2021,28,5,10
"DC00035",41,"H",25,177000,TRUE,2021,46,5,20
"DC00036",37,"H",20,123000,FALSE,2023,40,3,17
"DC00037",47,"H",10,87000,FALSE,2025,48,1,9
"DC00038",24,"H",25,45000,TRUE,2023,27,3,22
"DC00039",23,"F",15,76000,FALSE,2020,29,6,9
"DC00040",53,"H",10,91000,FALSE,2022,57,4,6
"DC00041",54,"H",16,182000,FALSE,2025,55,1,15
"DC00042",43,"H",5,127000,TRUE,2022,47,4,1
"DC00043",42,"H",15,89000,FALSE,2023,45,3,12
"DC00044",45,"H",5,59000,TRUE,2022,49,4,1
"DC00045",25,"H",20,154000,FALSE,2022,29,4,16
"DC00046",25,"H",15,332000,TRUE,2018,33,8,7
"DC00047",21,"F",20,87000,FALSE,2022,25,4,16
"DC00048",22,"H",15,344000,FALSE,2024,24,2,13
"DC00049",40,"H",25,96000,FALSE,2019,47,7,18
"DC00050",21,"H",20,869000,TRUE,2022,25,4,16
"DC00051",57,"H",5,113000,FALSE,2022,61,4,1
"DC00052",29,"F",10,293000,FALSE,2023,32,3,7
"DC00053",59,"H",11,209000,TRUE,2022,63,4,7
"DC00054",24,"F",20,135000,TRUE,2022,28,4,16
"DC00055",52,"F",18,70000,TRUE,2022,56,4,14
"DC00056",58,"H",12,181000,FALSE,2021,63,5,7
"DC00057",55,"H",15,306000,TRUE,2023,58,3,12
"DC00058",28,"F",20,137000,FALSE,2022,32,4,16
"DC00059",48,"H",10,128000,TRUE,2024,50,2,8
"DC00060",31,"H",15,559000,FALSE,2022,35,4,11
"DC00061",39,"F",25,84000,FALSE,2024,41,2,23
"DC00062",28,"H",15,122000,FALSE,2024,30,2,13
"DC00063",54,"H",10,99000,FALSE,2018,62,8,2
"DC00064",48,"H",15,542000,FALSE,2020,54,6,9
"DC00065",35,"F",10,299000,TRUE,2025,36,1,9
"DC00066",56,"H",14,191000,TRUE,2019,63,7,7
"DC00067",47,"H",20,118000,FALSE,2023,50,3,17
"DC00068",24,"H",10,350000,FALSE,2021,29,5,5
"DC00069",47,"F",10,256000,FALSE,2024,49,2,8
"DC00070",21,"F",5,196000,TRUE,2025,22,1,4
"DC00071",37,"F",20,138000,FALSE,2022,41,4,16
"DC00072",43,"F",10,175000,TRUE,2021,48,5,5
"DC00073",37,"H",10,43000,FALSE,2019,44,7,3
"DC00074",24,"F",20,25000,FALSE,2023,27,3,17
"DC00075",59,"F",10,230000,FALSE,2020,65,6,4
"DC00076",59,"H",11,409000,TRUE,2022,63,4,7
"DC00077",40,"F",10,98000,FALSE,2018,48,8,2
"DC00078",55,"F",15,440000,FALSE,2019,62,7,8
"DC00080",58,"F",12,414000,FALSE,2024,60,2,10
"DC00081",37,"F",10,411000,FALSE,2019,44,7,3
"DC00082",46,"H",10,122000,FALSE,2020,52,6,4
"DC00083",32,"F",25,216000,FALSE,2025,33,1,24
"DC00084",38,"H",10,168000,FALSE,2018,46,8,2
"DC00085",51,"F",10,81000,FALSE,2022,55,4,6
"DC00086",35,"H",10,185000,TRUE,2021,40,5,5
"DC00087",48,"F",15,112000,FALSE,2021,53,5,10
"DC00088",36,"H",5,277000,FALSE,2025,37,1,4
"DC00089",28,"H",10,203000,FALSE,2019,35,7,3
"DC00090",40,"F",10,161000,FALSE,2023,43,3,7
"DC00091",27,"F",25,399000,TRUE,2022,31,4,21
"DC00092",48,"H",10,211000,FALSE,2019,55,7,3
"DC00093",57,"F",10,465000,FALSE,2019,64,7,3
"DC00094",20,"H",5,29000,TRUE,2023,23,3,2
"DC00095",32,"F",5,257000,FALSE,2023,35,3,2
"DC00096",33,"H",15,52000,FALSE,2018,41,8,7
"DC00098",28,"H",20,79000,FALSE,2021,33,5,15
"DC00099",35,"H",15,139000,FALSE,2024,37,2,13
"DC00100",45,"F",20,179000,FALSE,2025,46,1,19
"DC00101",52,"H",10,397000,TRUE,2021,57,5,5
"DC00102",48,"F",15,151000,FALSE,2021,53,5,10
"DC00103",44,"F",5,370000,FALSE,2025,45,1,4
"DC00104",51,"H",19,247000,FALSE,2018,59,8,11
"DC00105",36,"F",10,79000,TRUE,2020,42,6,4
"DC00106",33,"H",15,106000,FALSE,2022,37,4,11
"DC00107",25,"H",10,17000,FALSE,2022,29,4,6
"DC00108",56,"F",14,92000,FALSE,2022,60,4,10
"DC00109",35,"F",10,185000,FALSE,2021,40,5,5
"DC00110",50,"H",20,143000,FALSE,2019,57,7,13
"DC00111",53,"H",10,82000,FALSE,2021,58,5,5
"DC00112",49,"F",10,94000,TRUE,2021,54,5,5
"DC00113",51,"H",19,169000,FALSE,2022,55,4,15
"DC00114",25,"F",30,158000,TRUE,2021,30,5,25
"DC00115",41,"F",20,32000,FALSE,2024,43,2,18
"DC00116",57,"F",10,79000,FALSE,2018,65,8,2
"DC00117",50,"F",20,143000,FALSE,2021,55,5,15
"DC00118",25,"F",20,276000,FALSE,2019,32,7,13
"DC00119",39,"H",10,36000,FALSE,2019,46,7,3
"DC00120",34,"H",30,143000,FALSE,2022,38,4,26
"DC00121",53,"H",17,61000,TRUE,2018,61,8,9
"DC00122",42,"H",15,261000,FALSE,2023,45,3,12
"DC00123",31,"F",10,110000,TRUE,2022,35,4,6
