"age","qx","px","lx","dx","ex"
0,0.00042099,0.99957901,1e+05,42.0992,74.8189
1,0.00042331,0.99957669,99957.9008,42.3132,73.8511
2,0.00042588,0.99957412,99915.5876,42.5524,72.8827
3,0.00042874,0.99957126,99873.0352,42.8195,71.9139
4,0.00043191,0.99956809,99830.2158,43.1176,70.9448
5,0.00043543,0.99956457,99787.0982,43.4501,69.9754
6,0.00043933,0.99956067,99743.6481,43.8207,69.0059
7,0.00044367,0.99955633,99699.8274,44.2337,68.0363
8,0.00044848,0.99955152,99655.5937,44.6936,67.0665
9,0.00045382,0.99954618,99610.9001,45.2057,66.0966
10,0.00045975,0.99954025,99565.6944,45.7755,65.1266
11,0.00046633,0.99953367,99519.9189,46.4094,64.1565
12,0.00047364,0.99952636,99473.5095,47.1145,63.1865
13,0.00048175,0.99951825,99426.395,47.8984,62.2164
14,0.00049075,0.99950925,99378.4967,48.7697,61.2464
15,0.00050074,0.99949926,99329.7269,49.7382,60.2765
16,0.00051183,0.99948817,99279.9888,50.8142,59.3067
17,0.00052414,0.99947586,99229.1746,52.0096,58.337
18,0.0005378,0.9994622,99177.165,53.3374,57.3676
19,0.00055296,0.99944704,99123.8276,54.812,56.3985
20,0.0005698,0.9994302,99069.0156,56.4493,55.4297
21,0.00058848,0.99941152,99012.5662,58.2672,54.4613
22,0.00060922,0.99939078,98954.299,60.2852,53.4934
23,0.00063224,0.99936776,98894.0138,62.5251,52.526
24,0.0006578,0.9993422,98831.4887,65.0109,51.5592
25,0.00068616,0.99931384,98766.4778,67.7694,50.5931
26,0.00071764,0.99928236,98698.7084,70.83,49.6279
27,0.00075258,0.99924742,98627.8784,74.2256,48.6635
28,0.00079137,0.99920863,98553.6528,77.9921,47.7002
29,0.00083442,0.99916558,98475.6607,82.1698,46.7379
30,0.0008822,0.9991178,98393.4909,86.8028,45.777
31,0.00093524,0.99906476,98306.6882,91.94,44.8174
32,0.0009941,0.9990059,98214.7481,97.6357,43.8593
33,0.00105944,0.99894056,98117.1124,103.9495,42.903
34,0.00113196,0.99886804,98013.163,110.9473,41.9485
35,0.00121246,0.99878754,97902.2156,118.7021,40.996
36,0.00130179,0.99869821,97783.5135,127.294,40.0458
37,0.00140095,0.99859905,97656.2195,136.8116,39.098
38,0.001511,0.998489,97519.4079,147.3521,38.1528
39,0.00163315,0.99836685,97372.0558,159.0229,37.2106
40,0.00176871,0.99823129,97213.0329,171.9416,36.2715
41,0.00191916,0.99808084,97041.0914,186.2375,35.3357
42,0.00208614,0.99791386,96854.8539,202.0525,34.4037
43,0.00227145,0.99772855,96652.8014,219.5417,33.4756
44,0.0024771,0.9975229,96433.2597,238.8749,32.5518
45,0.00270533,0.99729467,96194.3848,260.2373,31.6326
46,0.0029586,0.9970414,95934.1476,283.8305,30.7184
47,0.00323965,0.99676035,95650.3171,309.8737,29.8096
48,0.00355153,0.99644847,95340.4434,338.6043,28.9065
49,0.0038976,0.9961024,95001.8391,370.279,28.0095
50,0.00428159,0.99571841,94631.5601,405.174,27.1191
51,0.00470766,0.99529234,94226.3861,443.5856,26.2357
52,0.00518037,0.99481963,93782.8005,485.83,25.3598
53,0.00570483,0.99429517,93296.9705,532.243,24.4919
54,0.00628664,0.99371336,92764.7275,583.1789,23.6324
55,0.00693206,0.99306794,92181.5486,639.0084,22.7819
56,0.00764799,0.99235201,91542.5401,700.1164,21.9409
57,0.00844206,0.99155794,90842.4238,766.8973,21.11
58,0.00932274,0.99067726,90075.5264,839.7505,20.2898
59,0.01029937,0.98970063,89235.776,919.0724,19.4807
60,0.01138231,0.98861769,88316.7035,1005.248,18.6834
61,0.01258298,0.98741702,87311.4555,1098.6384,17.8985
62,0.01391402,0.98608598,86212.8171,1199.5668,17.1266
63,0.01538937,0.98461063,85013.2503,1308.3005,16.3683
64,0.01702443,0.98297557,83704.9498,1425.0288,15.6241
65,0.01883616,0.98116384,82279.921,1549.8377,14.8947
66,0.02084327,0.97915673,80730.0832,1682.6791,14.1807
67,0.02306636,0.97693364,79047.4041,1823.3359,13.4825
68,0.02552808,0.97447192,77224.0682,1971.382,12.8009
69,0.02825332,0.97174668,75252.6862,2126.1382,12.1362
70,0.03126941,0.96873059,73126.548,2286.6243,11.4891
71,0.03460632,0.96539368,70839.9237,2451.5089,10.8599
72,0.03829682,0.96170318,68388.4148,2619.059,10.2492
73,0.04237676,0.95762324,65769.3558,2787.0925,9.6573
74,0.04688523,0.95311477,62982.2633,2952.938,9.0847
75,0.05186478,0.94813522,60029.3253,3113.4077,8.5316
76,0.05736162,0.94263838,56915.9176,3264.7891,7.9983
77,0.0634258,0.9365742,53651.1284,3402.8656,7.485
78,0.07011136,0.92988864,50248.2628,3522.9741,6.9919
79,0.07747647,0.92252353,46725.2887,3620.1103,6.5191
80,0.08558344,0.91441656,43105.1784,3689.0894,6.0666
81,0.09449878,0.90550122,39416.089,3724.7722,5.6343
82,0.10429305,0.89570695,35691.3168,3722.3563,5.2223
83,0.11504068,0.88495932,31968.9605,3677.731,4.8304
84,0.1268196,0.8731804,28291.2295,3587.8824,4.4583
85,0.13971069,0.86028931,24703.3471,3451.3217,4.1059
86,0.15379705,0.84620295,21252.0255,3268.4989,3.7727
87,0.16916298,0.83083702,17983.5266,3042.1469,3.4583
88,0.18589262,0.81410738,14941.3797,2777.4922,3.1625
89,0.20406833,0.79593167,12163.8875,2482.2642,2.8846
90,0.22376855,0.77623145,9681.6233,2166.4428,2.6242
91,0.24506532,0.75493468,7515.1805,1841.7101,2.3807
92,0.26802117,0.73197883,5673.4704,1520.6102,2.1535
93,0.29268566,0.70731434,4152.8602,1215.4826,1.942
94,0.3190912,0.6809088,2937.3776,937.2913,1.7456
95,0.34724856,0.65275144,2000.0862,694.5271,1.5636
96,0.37714177,0.62285823,1305.5592,492.3809,1.3954
97,0.4087228,0.5912772,813.1783,332.3645,1.2404
98,0.44190612,0.55809388,480.8138,212.4745,1.0978
99,0.4765633,0.5234367,268.3392,127.8806,0.9671
100,0.51251828,0.48748172,140.4586,71.9876,0.8475
101,0.54954349,0.45045651,68.471,37.6278,0.7386
102,0.58735766,0.41264234,30.8432,18.116,0.6397
103,0.62562571,0.37437429,12.7272,7.9625,0.5502
104,0.6639617,0.3360383,4.7647,3.1636,0.4695
105,0.70193522,0.29806478,1.6011,1.1239,0.3973
106,0.73908206,0.26091794,0.4772,0.3527,0.3329
107,0.77491918,0.22508082,0.1245,0.0965,0.2759
108,0.80896417,0.19103583,0.028,0.0227,0.2259
109,0.84075839,0.15924161,0.0054,0.0045,0.1823
110,0.86989263,0.13010737,9e-04,7e-04,0.1448
111,0.89603331,0.10396669,1e-04,1e-04,0.1129
112,0.91894652,0.08105348,0,0,0.0863
113,0.93851691,0.06148309,0,0,0.0644
114,0.9547584,0.0452416,0,0,0.0467
115,0.96781406,0.03218594,0,0,0.0329
116,0.97794391,0.02205609,0,0,0.0224
117,0.98550107,0.01449893,0,0,0.0146
118,0.99089873,0.00910127,0,0,0.0092
119,0.99457222,0.00542778,0,0,0.0054
120,1,0,0,0,0
