"age","qx","px","lx","dx","ex"
0,0.00074179,0.99925821,1e+05,74.179,70.2301
1,0.0007462,0.9992538,99925.821,74.565,69.2823
2,0.00075108,0.99924892,99851.256,74.9963,68.3341
3,0.00075647,0.99924353,99776.2597,75.4777,67.3855
4,0.00076242,0.99923758,99700.7821,76.0143,66.4365
5,0.000769,0.999231,99624.7678,76.6119,65.4872
6,0.00077627,0.99922373,99548.1559,77.2767,64.5376
7,0.00078431,0.99921569,99470.8792,78.0159,63.5877
8,0.00079319,0.99920681,99392.8632,78.8371,62.6376
9,0.000803,0.999197,99314.0261,79.7489,61.6873
10,0.00081384,0.99918616,99234.2773,80.7605,60.7369
11,0.00082581,0.99917419,99153.5168,81.8824,59.7864
12,0.00083905,0.99916095,99071.6344,83.126,58.8358
13,0.00085367,0.99914633,98988.5083,84.504,57.8852
14,0.00086983,0.99913017,98904.0044,86.0301,56.9347
15,0.00088769,0.99911231,98817.9742,87.7199,55.9842
16,0.00090742,0.99909258,98730.2544,89.5901,55.034
17,0.00092923,0.99907077,98640.6643,91.6594,54.084
18,0.00095332,0.99904668,98549.0049,93.9484,53.1343
19,0.00097994,0.99902006,98455.0565,96.4797,52.185
20,0.00100935,0.99899065,98358.5767,99.2784,51.2362
21,0.00104185,0.99895815,98259.2984,102.3718,50.2879
22,0.00107777,0.99892223,98156.9266,105.7903,49.3404
23,0.00111745,0.99888255,98051.1363,109.5672,48.3936
24,0.0011613,0.9988387,97941.5691,113.7393,47.4477
25,0.00120975,0.99879025,97827.8297,118.347,46.5029
26,0.00126328,0.99873672,97709.4828,123.4346,45.5592
27,0.00132243,0.99867757,97586.0482,129.051,44.6169
28,0.00138779,0.99861221,97456.9972,135.25,43.6759
29,0.00146001,0.99853999,97321.7471,142.0906,42.7366
30,0.0015398,0.9984602,97179.6566,149.6374,41.7991
31,0.00162797,0.99837203,97030.0192,157.9615,40.8636
32,0.00172538,0.99827462,96872.0577,167.1409,39.9302
33,0.00183301,0.99816699,96704.9169,177.2607,38.9992
34,0.00195192,0.99804808,96527.6561,188.4146,38.0708
35,0.00208331,0.99791669,96339.2415,200.7045,37.1453
36,0.00222847,0.99777153,96138.537,214.242,36.2228
37,0.00238885,0.99761115,95924.295,229.1489,35.3038
38,0.00256604,0.99743396,95695.146,245.5577,34.3883
39,0.0027618,0.9972382,95449.5884,263.6126,33.4768
40,0.00297807,0.99702193,95185.9758,283.4702,32.5695
41,0.00321699,0.99678301,94902.5056,305.3002,31.6668
42,0.00348093,0.99651907,94597.2055,329.2861,30.769
