"age","age_actuariel","genre","fumeur","duree","capital","pnu_unitaire","prime_nette_annuelle","prime_commerciale","dont_frais_acquisition","dont_frais_gestion","dont_frais_capital","dont_frais_fixes","marge_technique","taux_chargement","annuite_actuarielle","hypotheses","id_contrat"
56,57,"F","FALSE",14,110000,0.185418,1788.7,2148.49,171.88,128.91,44,15,0,20.11,11.4027,"Base","DC00001"
20,21,"H","FALSE",20,298000,0.026946,487.36,722.74,57.82,43.36,119.2,15,0,48.3,16.4767,"Base","DC00002"
44,45,"F","FALSE",10,66000,0.03693,270.1,362.21,28.98,21.73,26.4,15,0,34.1,9.0241,"Base","DC00003"
29,30,"H","FALSE",15,140000,0.031395,339.96,477.86,38.23,28.67,56,15,0,40.56,12.9291,"Base","DC00004"
55,59,"H","TRUE",10,154000,0.200123,3675.17,4362.53,349,261.75,61.6,15,0,18.7,8.3857,"Base","DC00005"
37,38,"H","FALSE",20,42000,0.092825,242.94,319.46,25.56,19.17,16.8,15,0,31.5,16.048,"Base","DC00006"
43,47,"H","TRUE",15,126000,0.124567,1262.7,1544.3,123.54,92.66,50.4,15,0,22.3,12.4301,"Base","DC00007"
26,27,"H","FALSE",20,79000,0.0395,190.32,275.48,22.04,16.53,31.6,15,0,44.75,16.3963,"Base","DC00008"
55,56,"F","FALSE",15,94000,0.18789,1460.41,1759.32,140.75,105.56,37.6,15,0,20.47,12.0936,"Base","DC00009"
44,45,"F","FALSE",10,247000,0.03693,1010.83,1307.71,104.62,78.46,98.8,15,0,29.37,9.0241,"Base","DC00010"
56,57,"H","FALSE",10,263000,0.168387,5201.68,6188.23,495.06,371.29,105.2,15,0,18.97,8.5138,"Base","DC00011"
39,40,"H","FALSE",10,61000,0.038395,259.78,347.89,27.83,20.87,24.4,15,0,33.91,9.0155,"Base","DC00012"
45,46,"H","FALSE",25,140000,0.266208,2098.11,2522.22,201.78,151.33,56,15,0,20.21,17.7632,"Base","DC00013"
22,25,"F","TRUE",10,50000,0.00779,42.66,90.3,7.22,5.42,20,15,0,111.69,9.1311,"Base","DC00014"
60,61,"F","FALSE",10,270000,0.167242,5296.35,6301.57,504.13,378.09,108,15,0,18.98,8.5257,"Base","DC00015"
44,45,"F","FALSE",10,102000,0.03693,417.43,550.27,44.02,33.02,40.8,15,0,31.82,9.0241,"Base","DC00016"
46,49,"F","TRUE",10,299000,0.053721,1792.36,2240.66,179.25,134.44,119.6,15,0,25.01,8.9618,"Base","DC00017"
55,56,"F","FALSE",10,62000,0.104593,739.45,906.11,72.49,54.37,24.8,15,0,22.54,8.7696,"Base","DC00018"
56,57,"H","FALSE",10,367000,0.168387,7258.62,8628.39,690.27,517.7,146.8,15,0,18.87,8.5138,"Base","DC00019"
50,51,"F","FALSE",5,98000,0.026754,550.94,703.65,56.29,42.22,39.2,15,0,27.72,4.759,"Base","DC00020"
24,25,"H","FALSE",10,86000,0.013553,127.97,206.25,16.5,12.37,34.4,15,0,61.16,9.1077,"Base","DC00021"
39,42,"F","TRUE",15,110000,0.051482,441.29,581.73,46.54,34.9,44,15,0,31.83,12.833,"Base","DC00022"
53,54,"F","FALSE",17,70000,0.190999,994.41,1206.29,96.5,72.38,28,15,0,21.31,13.4451,"Base","DC00023"
47,50,"F","TRUE",15,32000,0.108228,276.34,353.65,28.29,21.22,12.8,15,0,27.98,12.5326,"Base","DC00024"
22,26,"H","TRUE",15,534000,0.02407,991.23,1418.4,113.47,85.1,213.6,15,0,43.1,12.9673,"Base","DC00026"
52,53,"H","FALSE",15,160000,0.207736,2778.87,3323.1,265.85,199.39,64,15,0,19.58,11.9609,"Base","DC00027"
43,44,"F","FALSE",10,181000,0.033681,674.67,886.12,70.89,53.17,72.4,15,0,31.34,9.0361,"Base","DC00028"
49,50,"H","FALSE",5,494000,0.038375,4001.77,4900.43,392.03,294.03,197.6,15,0,22.46,4.7372,"Base","DC00029"
34,38,"H","TRUE",20,126000,0.092825,728.81,923.5,73.88,55.41,50.4,15,0,26.71,16.048,"Base","DC00030"
41,42,"H","FALSE",15,81000,0.08111,518.7,658.26,52.66,39.5,32.4,15,0,26.9,12.6661,"Base","DC00031"
27,28,"F","FALSE",20,190000,0.025405,292.51,445.94,35.68,26.76,76,15,0,52.45,16.5018,"Base","DC00032"
55,56,"H","FALSE",15,144000,0.265771,3294.18,3914.86,313.19,234.89,57.6,15,0,18.84,11.6178,"Base","DC00033"
23,27,"H","TRUE",15,121000,0.025642,239.42,352.12,28.17,21.13,48.4,15,0,47.07,12.9591,"Base","DC00034"
41,45,"H","TRUE",25,177000,0.246346,2431.13,2926.67,234.13,175.6,70.8,15,0,20.38,17.9354,"Base","DC00035"
37,38,"H","FALSE",20,123000,0.092825,711.46,901.93,72.15,54.12,49.2,15,0,26.77,16.048,"Base","DC00036"
47,48,"H","FALSE",10,87000,0.076139,746.52,925.95,74.08,55.56,34.8,15,0,24.04,8.8733,"Base","DC00037"
24,28,"H","TRUE",25,45000,0.06284,145.76,207.86,16.63,12.47,18,15,0,42.6,19.4001,"Base","DC00038"
23,24,"F","FALSE",15,76000,0.012377,72.16,136.7,10.94,8.2,30.4,15,0,89.43,13.0346,"Base","DC00039"
53,54,"H","FALSE",10,91000,0.12943,1358.84,1639.81,131.19,98.39,36.4,15,0,20.68,8.6678,"Base","DC00040"
54,55,"H","FALSE",16,182000,0.268368,3981.84,4732.13,378.57,283.93,72.8,15,0,18.84,12.2664,"Base","DC00041"
43,47,"H","TRUE",5,127000,0.029421,786.02,990.48,79.24,59.43,50.8,15,0,26.01,4.7536,"Base","DC00042"
42,43,"H","FALSE",15,89000,0.088326,622.54,782.72,62.62,46.96,35.6,15,0,25.73,12.6273,"Base","DC00043"
45,49,"H","TRUE",5,59000,0.035098,436.57,552.53,44.2,33.15,23.6,15,0,26.56,4.7432,"Base","DC00044"
25,26,"H","FALSE",20,154000,0.03687,345.94,491.32,39.31,29.48,61.6,15,0,42.03,16.4132,"Base","DC00045"
25,29,"H","TRUE",15,332000,0.029288,751.43,1045.61,83.65,62.74,132.8,15,0,39.15,12.9401,"Base","DC00046"
